d,null_tall,tall_pos,not_tall,very_tall,not_very_tall_lit,not_very_tall_exh
59,-9.249291339247762,-48.96695151720312,-8.712080363346864,-50.0796024540275,-8.88857992288495,-48.169126241076434
59.06666666666667,-9.153500483662679,-48.453113837136,-8.616685557619197,-49.56236866031834,-8.793092943519415,-47.656824536999125
59.13333333333333,-9.05833776483554,-47.942167949146324,-8.52192531726526,-49.04809897875386,-8.698238369041363,-47.14742501680285
59.2,-8.963803182766329,-47.43411360483576,-8.42779977657047,-48.53662317199633,-8.60401844983199,-46.640834084413896
59.266666666666666,-8.86989673745506,-46.92894760323759,-8.334309073149036,-48.02802143360124,-8.51042892402734,-46.1372359888744
59.333333333333336,-8.776618428901717,-46.42667560929171,-8.241453348040883,-47.52230039633257,-8.41747206847369,-45.6365422817163
59.4,-8.683968257106319,-45.927294391457266,-8.14923274581198,-47.01945724496437,-8.3251479757635245,-45.13874986775218
59.46666666666667,-8.591946222068845,-45.430803686230924,-8.057647414657957,-46.519491409396146,-8.233456740675877,-44.643858598801636
59.53333333333333,-8.500552323789318,-44.937199754072346,-7.966697506511333,-46.02240254753259,-8.142398460236784,-44.151868921043416
59.6,-8.409786562267715,-44.44648930898029,-7.876383177152341,-45.52819501296576,-8.05197323378181,-43.66277878774429
59.666666666666664,-8.319648937504056,-43.958668561611304,-7.786704586323659,-45.03687038087285,-7.962180705989007,-43.17659004294485
59.733333333333334,-8.230139449498324,-43.47373723209038,-7.697661897848976,-44.54950254545822,-7.873021900241083,-42.693302974112456
59.8,-8.141258098250535,-42.991695036235825,-7.609255279755835,-44.0639096644915,-7.784496460960024,-42.21291511774791
59.86666666666667,-8.053004883760671,-42.51254195830436,-7.521484837969667,-43.5811916601987,-7.696604497385737,-41.735427470144856
59.93333333333333,-7.9653798060287535,-42.03633511947991,-7.434350882716957,-43.10134832151441,-7.609346121411761,-41.26083752748839
60,-7.8783828650547605,-41.562942848799864,-7.347853528440267,-42.624368984930136,-7.522721447660919,-40.78914955764912
60.06666666666667,-7.792014060838701,-41.09245282389663,-7.261992961298468,-42.15027344306254,-7.436730593563542,-40.32035807583122
60.13333333333333,-7.706273393380588,-40.62485046339904,-7.176769372335943,-41.67905110691448,-7.351373679438305,-39.85446960747389
60.2,-7.6211608626804,-40.160135455315796,-7.0921829576338276,-41.210707922498365,-7.266651393296728,-39.39148050072754
60.266666666666666,-7.536676468738156,-39.69830748266508,-7.008233918466782,-40.74522533026058,-7.182562725568369,-38.93140117904667
60.333333333333336,-7.452820211553837,-39.239366223365565,-6.924922461465269,-40.28159328703806,-7.099108376994872,-38.47421166029209
60.4,-7.369592091127462,-38.78331135012495,-6.8422487987839204,-39.821938707505886,-7.01628848031144,-38.019916066587506
