"","x"
"m_mu",70.1183892660191
"s_mu",1.84043386153333
"m_sigma",0.992881248668345
"s_sigma",0.81338664375
"m_lambda",-0.399690706503224
"s_lambda",0.493731299933333
"rho_mu_sigma",-0.314381659154845
"rho_mu_lambda",-0.0219707497274238
"rho_sigma_lambda",-0.046897260494631
